Method,Config,Nodes,Edges,Reduction,NetworkX_Components,Eigenvalue_Components,Methods_Agree,Largest_Comp,Largest_Comp_Pct,Lambda_Critical,All_Eigenvalues,λ_1,λ_2,λ_3,λ_4,λ_5,λ_6,λ_7,λ_8,λ_9,λ_10,λ_11,λ_12,λ_13,λ_14,λ_15,Reduction_Val
CMG++,Level 1,941,2616,2.9x,78,0,False,772,82.0%,0.3333333333333333,"[-7.5000286454584e-15, -3.0896216812939224e-15, -9.86921528247192e-16, 1.787858271105655e-14, 2.630226625822407e-14, 2.74097651049703e-14, 4.841955219274119e-14, 0.0944354775963029, 0.0993924721493968, 0.14090067860765332, 0.1894772057919106, 0.19725187645471903, 0.2390607833130131, 0.2841745998733154, 0.29464253905313714]",-7.50e-15,-3.09e-15,-9.87e-16,1.79e-14,2.63e-14,2.74e-14,4.84e-14,9.44e-02,9.94e-02,1.41e-01,1.89e-01,1.97e-01,2.39e-01,2.84e-01,2.95e-01,2.9
CMG++,Level 2,398,1329,6.8x,78,0,False,236,59.3%,0.3333333333333333,"[-2.416327071137217e-14, -1.423955125354508e-14, -1.2864259918091772e-14, -6.478022140887083e-15, -5.414678153833074e-15, -3.396547972421878e-15, -2.2737966155576562e-15, 2.576702267703187e-15, 2.676047126130236e-15, 6.4724239214098495e-15, 7.516006559101729e-15, 1.670048116364122e-14, 1.705675495453335e-14, 2.2015929827405288e-14, 0.39124976238006065]",-2.42e-14,-1.42e-14,-1.29e-14,-6.48e-15,-5.41e-15,-3.40e-15,-2.27e-15,2.58e-15,2.68e-15,6.47e-15,7.52e-15,1.67e-14,1.71e-14,2.20e-14,3.91e-01,6.8
CMG++,Level 3,253,794,10.7x,78,0,False,92,36.4%,0.3333333333333333,"[-2.6184199431000107e-14, -2.318400759335215e-14, -1.9673734014419793e-14, -1.6394833203570726e-14, -9.656606089541974e-15, -5.627981228991868e-15, -4.161607972999944e-15, -4.01611883097376e-15, -2.1295766037183123e-16, 3.5072230848624444e-15, 6.049978155894523e-15, 8.469099273731289e-15, 8.998478090234679e-15, 1.0116027753083148e-14, 1.6569891053685358e-14]",-2.62e-14,-2.32e-14,-1.97e-14,-1.64e-14,-9.66e-15,-5.63e-15,-4.16e-15,-4.02e-15,-2.13e-16,3.51e-15,6.05e-15,8.47e-15,9.00e-15,1.01e-14,1.66e-14,10.7
LAMG,Ratio 2,1169,3938,2.3x,6,0,False,1066,91.2%,N/A,"[-3.205496676364349e-14, -7.156801804214918e-15, -4.8543511690863305e-15, -2.047920739202548e-15, 3.0541458112061168e-15, 1.959592837103296e-14, 0.06896842634632014, 0.0819840369666338, 0.09279042425552314, 0.10649787682966272, 0.11080384354360481, 0.11769241242210518, 0.12038559241140141, 0.12046499411048193, 0.12572026259407668]",-3.21e-14,-7.16e-15,-4.85e-15,-2.05e-15,3.05e-15,1.96e-14,6.90e-02,8.20e-02,9.28e-02,1.06e-01,1.11e-01,1.18e-01,1.20e-01,1.20e-01,1.26e-01,2.3
LAMG,Ratio 3,519,1985,5.2x,3,0,False,475,91.5%,N/A,"[-9.744003239593424e-15, 8.442516097816542e-15, 1.766659961325811e-14, 0.15491745954024563, 0.1809132732956394, 0.19314654915067028, 0.19540103630141173, 0.2280927304703107, 0.24617341473871063, 0.2868171892329795, 0.289441121853032, 0.33825045988042396, 0.3637788229717683, 0.42099853693964734, 0.4544443532334678]",-9.74e-15,8.44e-15,1.77e-14,1.55e-01,1.81e-01,1.93e-01,1.95e-01,2.28e-01,2.46e-01,2.87e-01,2.89e-01,3.38e-01,3.64e-01,4.21e-01,4.54e-01,5.2
LAMG,Ratio 4,519,1985,5.2x,3,0,False,475,91.5%,N/A,"[-3.0232508279109605e-15, 2.1505861190716393e-15, 2.385841476973183e-14, 0.15491745954024053, 0.18091327329561874, 0.19314654915064527, 0.19540103630137928, 0.2280927304702962, 0.24617341473868629, 0.28681718923297106, 0.2894411218530174, 0.33825045988040875, 0.3637788229717718, 0.4209985369396257, 0.4544443532334347]",-3.02e-15,2.15e-15,2.39e-14,1.55e-01,1.81e-01,1.93e-01,1.95e-01,2.28e-01,2.46e-01,2.87e-01,2.89e-01,3.38e-01,3.64e-01,4.21e-01,4.54e-01,5.2
LAMG,Ratio 5,519,1985,5.2x,3,0,False,475,91.5%,N/A,"[-2.02687535288234e-14, -9.445597257173288e-15, -3.9858617229265944e-15, 0.15491745954023664, 0.18091327329561008, 0.19314654915065377, 0.1954010363013923, 0.2280927304703092, 0.24617341473870183, 0.2868171892329938, 0.2894411218530339, 0.33825045988041647, 0.36377882297176434, 0.42099853693967226, 0.45444435323349025]",-2.03e-14,-9.45e-15,-3.99e-15,1.55e-01,1.81e-01,1.93e-01,1.95e-01,2.28e-01,2.46e-01,2.87e-01,2.89e-01,3.38e-01,3.64e-01,4.21e-01,4.54e-01,5.2
LAMG,Ratio 6,218,979,12.4x,3,0,False,204,93.6%,N/A,"[-8.509214977497928e-16, 1.092113458676274e-14, 2.904794421325785e-14, 0.35954837652708144, 0.39633067292816165, 0.5054043527557535, 0.6775550622414852, 0.7114972408341937, 0.962973756932416, 1.0190828315081097, 1.069350719771494, 1.1676800824943978, 1.1783371489959555, 1.3848594044928981, 1.461134805511856]",-8.51e-16,1.09e-14,2.90e-14,3.60e-01,3.96e-01,5.05e-01,6.78e-01,7.11e-01,9.63e-01,1.02e+00,1.07e+00,1.17e+00,1.18e+00,1.38e+00,1.46e+00,12.4
