dataset,method,fusion,status,level,reduce_ratio_param,original_nodes,original_edges,original_components,fused_nodes,fused_edges,fused_components,fusion_time,final_nodes,final_edges,final_components,actual_level,reduction_ratio,reduce_time,embed_time,refine_time,accuracy,total_time
citeseer,simple,True,completed,3.0,,3327,4528,438,3327,5709,438,0.6045029163360596,1555,1772,438,3,2.139549839228296,0.2614452838897705,33.874003648757935,0.02021193504333496,0.502,35.16628384590149
citeseer,simple,False,completed,1.0,,3327,4528,438,3327,4528,438,0.0,2616,3286,438,1,1.271788990825688,0.14419341087341309,61.74023365974426,0.008173942565917969,0.507,62.198761224746704
citeseer,simple,False,completed,2.0,,3327,4528,438,3327,4528,438,0.0,2191,2631,438,2,1.518484710178001,0.21109724044799805,48.96698975563049,0.012676477432250977,0.51,49.49034380912781
citeseer,simple,False,completed,3.0,,3327,4528,438,3327,4528,438,0.0,1860,2151,438,3,1.788709677419355,0.2670247554779053,41.0744149684906,0.016972780227661133,0.511,41.66268539428711
pubmed,cmg,True,completed,1.0,,19717,44324,1,19717,62478,1,20.093560457229614,6770,29908,1,1,2.912407680945347,8.249178647994995,235.29520678520203,0.1143484115600586,0.759,266.5223958492279
pubmed,cmg,True,completed,2.0,,19717,44324,1,19717,62478,1,12.334337949752808,2504,19717,1,2,7.8742012779552715,9.761852979660034,91.65036725997925,0.15155577659606934,0.788,116.54678440093994
pubmed,cmg,True,completed,3.0,,19717,44324,1,19717,62478,1,11.999460458755493,1223,14919,1,3,16.121831561733444,10.114829778671265,48.40688133239746,0.1402440071105957,0.802,73.25183892250061
pubmed,cmg,False,completed,1.0,,19717,44324,1,19717,44324,1,0.0,3603,23230,1,1,5.472384124340827,5.834541082382202,129.69069027900696,0.0933229923248291,0.768,137.277978181839
pubmed,cmg,False,completed,2.0,,19717,44324,1,19717,44324,1,0.0,1584,17089,1,2,12.44760101010101,6.209588289260864,61.84721350669861,0.10133552551269531,0.795,69.80450248718262
pubmed,cmg,False,completed,3.0,,19717,44324,1,19717,44324,1,0.0,968,13698,1,3,20.36880165289256,6.40109395980835,38.762622356414795,0.09961533546447754,0.804,47.01674723625183
pubmed,lamg,True,completed,,2.0,19717,44324,1,19717,70286,1,12.068925857543945,7903,36811,1,1,2.494875363785904,5.785748720169067,270.3415653705597,0.09821319580078125,0.764,290.98824405670166
pubmed,lamg,True,completed,,3.0,19717,44324,1,19717,70286,1,7.620607376098633,3598,21509,1,2,5.479988882712618,5.825860500335693,129.44512724876404,0.1346442699432373,0.793,145.81677842140198
pubmed,lamg,True,completed,,6.0,19717,44324,1,19717,70286,1,7.687288284301758,1627,12750,1,3,12.118623232944069,5.875308990478516,62.70212745666504,0.15854358673095703,0.796,78.97891449928284
pubmed,lamg,False,completed,,2.0,19717,44324,1,19717,44324,1,0.0,7523,27106,1,1,2.620895919181178,4.882296562194824,256.99600076675415,0.08466100692749023,0.761,263.6989052295685
pubmed,lamg,False,completed,,3.0,19717,44324,1,19717,44324,1,0.0,3329,17677,1,2,5.922799639531391,4.899634838104248,124.45988464355469,0.08269333839416504,0.79,131.2665774822235
pubmed,lamg,False,completed,,6.0,19717,44324,1,19717,44324,1,0.0,1507,10817,1,3,13.083609820836099,4.894616603851318,58.18847990036011,0.10566377639770508,0.805,64.83184027671814
pubmed,simple,True,completed,1.0,,19717,44324,1,19717,53814,1,6.670348167419434,14837,41276,1,1,1.328907461077037,1.4548439979553223,557.010810136795,0.06719589233398438,0.748,567.7728586196899
pubmed,simple,True,completed,2.0,,19717,44324,1,19717,53814,1,6.618953466415405,12063,34540,1,2,1.6345021968001325,2.101980447769165,455.2031524181366,0.09878158569335938,0.781,466.43514680862427
pubmed,simple,True,completed,3.0,,19717,44324,1,19717,53814,1,6.790048837661743,10148,29927,1,3,1.9429444225463146,2.676391839981079,393.8716893196106,0.13869166374206543,0.788,405.94050788879395
pubmed,simple,False,completed,1.0,,19717,44324,1,19717,44324,1,0.0,17287,40169,1,1,1.140568056921386,1.2987174987792969,646.0125567913055,0.05160832405090332,0.745,649.1506748199463
pubmed,simple,False,completed,2.0,,19717,44324,1,19717,44324,1,0.0,15146,36321,1,2,1.3017958536907435,2.250580310821533,576.283695936203,0.09201216697692871,0.764,580.3330500125885
pubmed,simple,False,completed,3.0,,19717,44324,1,19717,44324,1,0.0,13329,32825,1,3,1.4792557581213894,2.697410821914673,525.426821231842,0.12651562690734863,0.785,529.961754322052
