Method,Nodes,Edges,Compression,Connectivity,Fiedler_Value,Spectral_Gap,First_5_Eigenvalues
cmg_level_1,927,0,2.9212513484358142,Unknown,0,0.0,[]
lamg_reduce_3,519,1985,5.217726396917149,Disconnected (2 components),0,0.02421655,"[-2.1255591603074616e-16, -1.0375525091244736e-16, 0.02421655333713092, 0.03502182642603162, 0.043873697925846895]"
lamg_reduce_6,218,979,12.422018348623853,Disconnected (3 components),0,0.0,"[-1.584605041448044e-17, 1.918873252309421e-17, 4.591129650279632e-16, 0.06782300983211338, 0.09304962800755234]"
cmg_level_2,398,0,6.8040201005025125,Unknown,0,0.0,[]
lamg_reduce_2,1169,3938,2.316509837467921,Disconnected (3 components),0,0.0,"[1.494248683476194e-17, 1.1359961276927955e-16, 1.9318957722798855e-16, 0.013411051914581928, 0.017198939531278663]"
cmg_level_3,253,0,10.703557312252965,Unknown,0,0.0,[]
