method,parameter,dataset,accuracy,total_time,final_nodes,compression_ratio,notes
cmg,level_1,cora,0.759,108.688,927,2.92,completed
cmg,level_2,cora,0.743,37.708,398,6.80,completed
cmg,level_3,cora,0.715,19.077,253,10.70,completed
cmg,level_4,cora,0.681,12.858,200,13.54,completed
cmg,level_5,cora,0.597,10.746,177,15.29,completed
cmg,level_6,cora,0.345,9.800,164,16.51,completed
lamg,ratio_2,cora,0.792,144.231,1169,2.31,completed
lamg,ratio_3,cora,0.798,54.242,519,5.21,completed
lamg,ratio_4,cora,0.802,54.798,519,5.21,completed
lamg,ratio_5,cora,0.799,55.727,519,5.21,completed
lamg,ratio_6,cora,0.789,17.153,218,12.42,completed
simple,level_1,cora,0.771,204.790,1724,1.57,completed
simple,level_2,cora,0.778,152.930,1261,2.14,completed
simple,level_3,cora,0.75,108.326,955,2.83,completed
simple,level_4,cora,0.733,79.216,753,3.59,completed
simple,level_5,cora,0.73,55.660,604,4.48,completed
simple,level_6,cora,0.727,40.684,495,5.47,completed
